abilities;against_bug;against_dark;against_dragon;against_electric;against_fairy;against_fight;against_fire;against_flying;against_ghost;against_grass;against_ground;against_ice;against_normal;against_poison;against_psychic;against_rock;against_steel;against_water;attack;base_egg_steps;base_happiness;base_total;capture_rate;defense;experience_growth;height_m;hp;name;percentage_male;pokedex_number;sp_attack;sp_defense;speed;type1;type2;weight_kg;generation;is_legendary
['Overgrow', 'Chlorophyll'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;49;5120;70;318;45;49;1059860;7;45;Bulbasaur;881;1;65;65;45;grass;poison;69;1;0
['Overgrow', 'Chlorophyll'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;62;5120;70;405;45;63;1059860;10;60;Ivysaur;881;2;80;80;60;grass;poison;130;1;0
['Overgrow', 'Chlorophyll'];1;1;1;5;5;5;2;2;1;25;1;2;1;1;2;1;1;5;100;5120;70;625;45;123;1059860;20;80;Venusaur;881;3;122;120;80;grass;poison;1000;1;0
['Blaze', 'Solar Power'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;52;5120;70;309;45;43;1059860;6;39;Charmander;881;4;60;50;65;fire;;85;1;0
['Blaze', 'Solar Power'];5;1;1;1;5;1;5;1;1;5;2;5;1;1;1;2;5;2;64;5120;70;405;45;58;1059860;11;58;Charmeleon;881;5;80;65;80;fire;;190;1;0
['Blaze', 'Solar Power'];25;1;1;2;5;5;5;1;1;25;0;1;1;1;1;4;5;2;104;5120;70;634;45;78;1059860;17;78;Charizard;881;6;159;115;100;fire;flying;905;1;0
['Torrent', 'Rain Dish'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;48;5120;70;314;45;65;1059860;5;44;Squirtle;881;7;50;64;43;water;;90;1;0
['Torrent', 'Rain Dish'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;63;5120;70;405;45;80;1059860;10;59;Wartortle;881;8;65;80;58;water;;225;1;0
['Torrent', 'Rain Dish'];1;1;1;2;1;1;5;1;1;2;1;5;1;1;1;1;5;5;103;5120;70;630;45;120;1059860;16;79;Blastoise;881;9;135;115;78;water;;855;1;0
['Shield Dust', 'Run Away'];1;1;1;1;1;5;2;2;1;5;5;1;1;1;1;2;1;1;30;3840;70;195;255;35;1000000;3;45;Caterpie;50;10;20;20;45;bug;;29;1;0
