id;name;classification;rank;generation;regional_variant;form_variant;gmax;stage;height;weight;evolves_from;type1;type2;hp;atk;def;spatk;spdef;speed;abilities;desc
1;bulbasaur;Seed Pokémon;ordinary;generation-i;;;;one;7;69;nothing;grass;poison;45;49;49;65;65;45;overgrow chlorophyll;A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2;ivysaur;Seed Pokémon;ordinary;generation-i;;;;two;10;130;bulbasaur;grass;poison;60;62;63;80;80;60;overgrow chlorophyll;When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.
3;venusaur;Seed Pokémon;mega-evolution;generation-vi;;;;final;24;1555;venusaur;grass;poison;80;100;123;122;120;80;thick-fat;In order to support its flower, which has grown larger due to Mega Evolution, its back and legs have become stronger.
3;venusaur;Seed Pokémon;ordinary;generation-i;;;;final;20;1000;ivysaur;grass;poison;80;82;83;100;100;80;overgrow chlorophyll;The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
3;venusaur;Seed Pokémon;ordinary;generation-viii;;;TRUE;final;24;1555;venusaur;grass;poison;80;100;123;122;120;80;thick-fat;The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight. By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.
4;charmander;Lizard Pokémon;ordinary;generation-i;;;;one;6;85;nothing;fire;none;39;52;43;60;50;65;blaze solar-power;Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.
5;charmeleon;Flame Pokémon;ordinary;generation-i;;;;two;11;190;charmander;fire;none;58;64;58;80;65;80;blaze solar-power;When it swings its burning tail, it elevates the temperature to unbearably high levels.
6;charizard;Flame Pokémon;mega-evolution;generation-vi;;y;;final;17;1005;charizard;fire;flying;78;104;78;159;115;100;drought;Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.
6;charizard;Flame Pokémon;ordinary;generation-i;;;;final;17;905;charmeleon;fire;flying;78;84;78;109;85;100;blaze solar-power;Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. If Charizard becomes truly angered, the flame at the tip of its tail burns in a light blue shade.
6;charizard;Flame Pokémon;ordinary;generation-viii;;;TRUE;final;17;100000;charizard;fire;flying;78;84;78;109;85;100;blaze solar-power;Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally. It uses its wings to fly sky-high. The more experience it gains in battle, the greater the temperature at which its flames burn.
6;charizard;Flame Pokémon;mega-evolution;generation-vi;;x;;final;17;1110;charizard;fire;dragon;78;130;111;130;85;100;tough-claws;The overwhelming power that fills its entire body causes it to turn black and creates intense blue flames.
7;squirtle;Tiny Turtle Pokémon;ordinary;generation-i;;;;one;5;90;nothing;water;none;44;48;65;50;64;43;torrent rain-dish;After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.
8;wartortle;Turtle Pokémon;ordinary;generation-i;;;;two;10;225;squirtle;water;none;59;63;80;65;80;58;torrent rain-dish;Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.
9;blastoise;Shellfish Pokémon;ordinary;generation-i;;;;final;16;855;wartortle;water;none;79;83;100;85;105;78;torrent rain-dish;A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles. It deliberately increases its body weight so it can withstand the recoil of the water jets it fires.
9;blastoise;Shellfish Pokémon;mega-evolution;generation-vi;;;;final;16;855;blastoise;water;none;79;103;120;135;115;78;mega-launcher;It has jet nozzles on its shell. This impressive Pokémon uses these jets to charge toward foes with all the force of a rocket.
9;blastoise;Shellfish Pokémon;ordinary;generation-viii;;;TRUE;final;16;100000;blastoise;water;none;79;83;100;85;105;78;torrent rain-dish;The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon.
10;caterpie;Worm Pokémon;ordinary;generation-i;;;;one;3;29;nothing;bug;none;45;30;35;20;20;45;shield-dust run-away;Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11;metapod;Cocoon Pokémon;ordinary;generation-i;;;;two;7;99;caterpie;bug;none;50;20;55;25;25;30;shed-skin;This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body.
12;butterfree;Butterfly Pokémon;ordinary;generation-i;;;;final;11;320;metapod;bug;flying;60;45;50;90;80;70;compound-eyes tinted-lens;In battle, it flaps its wings at high speed to release highly toxic dust into the air.
12;butterfree;Butterfly Pokémon;ordinary;generation-i;;;TRUE;final;11;100000;butterfree;bug;flying;60;45;50;90;80;70;compound-eyes tinted-lens;Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.
13;weedle;Hairy Pokémon;ordinary;generation-i;;;;one;3;32;nothing;bug;poison;40;35;30;20;20;50;shield-dust run-away;Often found in forests, eating leaves. It has a sharp venomous stinger on its head.
14;kakuna;Cocoon Pokémon;ordinary;generation-i;;;;two;6;100;weedle;bug;poison;45;25;50;25;25;35;shed-skin;Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.
15;beedrill;Poison Bee Pokémon;ordinary;generation-i;;;;final;10;295;kakuna;bug;poison;65;90;40;45;80;75;swarm sniper;It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
15;beedrill;Poison Bee Pokémon;mega-evolution;generation-vi;;;;final;14;405;beedrill;bug;poison;65;150;40;15;80;145;adaptability;It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16;pidgey;Tiny Bird Pokémon;ordinary;generation-i;;;;one;3;18;nothing;normal;flying;40;45;40;35;35;56;keen-eye tangled-feet big-pecks;A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17;pidgeotto;Bird Pokémon;ordinary;generation-i;;;;two;11;300;pidgey;normal;flying;63;60;55;50;50;71;keen-eye tangled-feet big-pecks;Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder.
18;pidgeot;Bird Pokémon;ordinary;generation-i;;;;final;15;395;pidgeotto;normal;flying;83;80;75;70;70;101;keen-eye tangled-feet big-pecks;When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.
18;pidgeot;Bird Pokémon;mega-evolution;generation-vi;;;;final;22;505;pidgeot;normal;flying;83;80;80;135;80;121;no-guard;When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.
19;rattata;Mouse Pokémon;ordinary;generation-vi;alolan;;;one;3;35;nothing;dark;normal;30;56;35;25;35;72;gluttony hustle thick-fat;Bites anything when it attacks. Small and very quick, it is a common sight in many places. Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death.
19;rattata;Mouse Pokémon;ordinary;generation-i;;;;one;3;35;nothing;normal;none;30;56;35;25;35;72;run-away guts hustle;Bites anything when it attacks. Small and very quick, it is a common sight in many places. This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.
20;raticate;Mouse Pokémon;ordinary;generation-vi;alolan;;;final;7;185;rattata;dark;normal;75;71;70;40;80;77;gluttony hustle thick-fat;It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off. It makes its Rattata underlings gather food for it, dining solely on the most nutritious and delicious fare.
20;raticate;Mouse Pokémon;ordinary;generation-i;;;;final;7;185;rattata;normal;none;55;81;60;50;70;97;run-away guts hustle;It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off. This gourmet Pokémon is particular about the taste and freshness of its food. Restaurants where Raticate live have a good reputation.
21;spearow;Tiny Bird Pokémon;ordinary;generation-i;;;;one;3;20;nothing;normal;flying;40;60;30;31;31;70;keen-eye sniper;It flaps its small wings busily to fly. Using its beak, it searches in grass for prey.
22;fearow;Beak Pokémon;ordinary;generation-i;;;;final;12;380;spearow;normal;flying;65;90;65;61;61;100;keen-eye sniper;With its huge and magnificent wings, it can keep aloft without ever having to land for rest.
23;ekans;Snake Pokémon;ordinary;generation-i;;;;one;20;69;nothing;poison;none;35;60;44;40;54;55;intimidate shed-skin unnerve;Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole.
24;arbok;Cobra Pokémon;ordinary;generation-i;;;;final;35;650;ekans;poison;none;60;95;69;65;79;80;intimidate shed-skin unnerve;It is rumored that the ferocious warning markings on its belly differ from area to area.
25;pikachu;Mouse Pokémon;ordinary;generation-i;;;;two;4;60;pichu;electric;none;35;55;40;50;50;90;static lightning-rod;When several of these POKéMON gather, their electricity could build and cause lightning storms.
25;pikachu;Mouse Pokémon;ordinary;generation-viii;;;TRUE;two;4;100000;pikachu;electric;none;35;55;40;50;50;90;static lightning-rod;When several of these POKéMON gather, their electricity could build and cause lightning storms.
